Query,Baseline_Prec,Proposed_Prec,Baseline_AGS,Proposed_AGS,Delta_Prec
How does the dark matter field fluid constant affect the calculation of tidal friction?,0.55,0.75,0.4961813481844877,0.5580237374712939,0.19999999999999996
"Can the -pebble game with colors be applied to dense graphs, or is it strictly for sparse graphs?",0.55,0.6666666666666666,1.014994169029213,0.40956695886273353,0.11666666666666659
Explain the importance of 'next-to-next-to-leading logarithmic accuracy' in perturbative QCD.,0.55,0.8333333333333334,0.6557197249240271,0.6533831465338314,0.2833333333333333
What are the specific health benefits of drinking coffee daily according to recent medical literature?,0.55,0.0,0.4287319204399064,0.0,-0.55
How does quantum computing impact traditional RSA encryption methods?,0.55,1.0,0.5920915262468126,0.5674821531599025,0.44999999999999996
What is the primary contribution of the Transformer architecture to natural language processing?,0.55,1.0,0.6547501172438475,0.6445863040955065,0.44999999999999996
Explain the socio-economic causes of urban sprawl in developing nations.,0.55,0.75,0.5785018910628668,0.44765419765419767,0.19999999999999996
How do neural networks use backpropagation to minimize loss during training?,0.55,0.875,0.5184659159039835,0.49415142929212935,0.32499999999999996
Describe the effects of ocean acidification on coral reef biodiversity.,0.55,0.8571428571428571,0.5121249496769255,0.4849152451020023,0.30714285714285705
What are the ethical implications of using CRISPR gene editing in human embryos?,0.55,1.0,0.7731346662178489,0.43949345673483603,0.44999999999999996
Summarize the key findings of a research paper regarding the impact of microplastics on marine food chains.,0.55,0.8,0.4682821005326945,0.5714285714285714,0.25
How does the theory of general relativity explain the phenomenon of gravitational lensing?,0.55,1.0,0.6758133812148577,0.5317856660817923,0.44999999999999996
What are the current limitations of solid-state battery technology for electric vehicles?,0.55,1.0,0.6650143252466474,0.5586592178770949,0.44999999999999996
Explain the role of mitochondria in cellular respiration and energy production.,0.55,0.75,0.5660316006805741,0.5124316473000684,0.19999999999999996
What was the impact of the Industrial Revolution on global carbon emission trends?,0.55,1.0,0.48814218111802843,0.423728813559322,0.44999999999999996
How do large language models manage context windows when processing long documents?,0.55,0.9166666666666666,0.5026374899886158,0.441013816410818,0.3666666666666666
Describe the mechanism of action for mRNA vaccines in providing immunity against viruses.,0.55,1.0,0.4493135166389979,0.3851295277566578,0.44999999999999996
What is 'retrieval brittleness' and how does it affect RAG system performance?,0.55,0.8333333333333334,0.49712723102387796,0.49504950495049505,0.2833333333333333
