Query,Hypothesis_Type,Domain,Difficulty,Baseline_Prec,Baseline_Rec,Baseline_AGS,Baseline_Num_Verified_Pairs,Proposed_Prec,Proposed_Rec,Proposed_AGS,Proposed_Num_Verified_Pairs,Delta_Prec_Proposed_vs_Baseline,Delta_Rec_Proposed_vs_Baseline,Delta_AGS_Proposed_vs_Baseline
What was the impact of the Industrial Revolution on global carbon emission trends?,causal_analysis,general,medium,1.0,1.0,0.9956757724285126,0,0.75,0.75,0.9555094242095947,0,-0.25,-0.25,-0.04016634821891785
What is 'retrieval brittleness' and how does it affect RAG system performance?,causal_analysis,rag_thesis,hard,1.0,1.0,0.9801962375640869,0,0.9,0.9,0.970211942990621,0,-0.09999999999999998,-0.09999999999999998,-0.009984294573465946
What is the closest distance the Moon reached from Earth according to the dark matter field fluid model 4.5 billion years ago?,factoid_lookup,scientific,medium,1.0,1.0,0.9809900522232056,0,1.0,1.0,0.9853408932685852,0,0.0,0.0,0.004350841045379639
How does the dyadic grid facilitate the computation of the norm in Hardy spaces?,methodological_process,scientific,hard,1.0,1.0,0.9861249029636383,0,0.75,0.75,0.9821341236432394,0,-0.25,-0.25,-0.0039907793203989295
Explain the methodology used to contrast diphoton pairs from Higgs decay with those from QCD processes.,methodological_process,scientific,hard,0.375,0.375,0.9834713737169901,0,1.0,1.0,0.9886196851730347,0,0.625,0.625,0.005148311456044552
How does the Stirling cycle number determinant relate to unlabeled acyclic single-source automata?,multi_hop_explanatory,scientific,hard,1.0,1.0,0.9971585869789124,0,1.0,1.0,0.9984467327594757,0,0.0,0.0,0.0012881457805633545
How does the dark matter field fluid model align with geological and fossil evidence of the Earth-Moon system?,evaluation_judgment,scientific,hard,1.0,1.0,0.995964527130127,0,1.0,1.0,0.9965319633483887,0,0.0,0.0,0.0005674362182617188
What are the implications of the exact diagonalization method for low-temperature calculations in lattice models?,evaluation_judgment,scientific,medium,1.0,1.0,0.9941942989826202,0,0.8333333333333334,0.8333333333333334,0.9885647177696228,0,-0.16666666666666663,-0.16666666666666663,-0.005629581212997392
Explain the 'sign-reversing involution' mentioned in the context of acyclic single-source automata.,methodological_process,scientific,hard,1.0,1.0,0.9856756329536438,0,1.0,1.0,0.9547669291496277,0,0.0,0.0,-0.030908703804016113
What perturbative contributions are included in the NLO calculation for massive photon pairs?,factoid_lookup,scientific,medium,1.0,1.0,0.9997531771659851,0,1.0,1.0,0.9983807802200317,0,0.0,0.0,-0.0013723969459533691
What is the primary contribution of the Transformer architecture to natural language processing?,factoid_lookup,general,medium,0.6666666666666666,0.6666666666666666,0.9880614280700684,0,1.0,1.0,0.9949861466884613,0,0.33333333333333337,0.33333333333333337,0.006924718618392944
How do large language models manage context windows when processing long documents?,methodological_process,general,medium,0.9,0.8888888888888888,0.9672601521015167,0,0.75,0.75,0.9827589889367422,0,-0.15000000000000002,-0.13888888888888884,0.01549883683522546
Describe the effects of ocean acidification on coral reef biodiversity.,causal_analysis,general,medium,1.0,1.0,0.9855194006647382,0,0.75,0.75,0.9847663144270579,0,-0.25,-0.25,-0.0007530862376803338
Explain the role of gluon-gluon subprocesses in prompt diphoton production.,factoid_lookup,scientific,medium,1.0,1.0,0.9944655299186707,0,1.0,1.0,0.9959329962730408,0,0.0,0.0,0.0014674663543701172
Compare Higgs vs QCD background sensitivity.,comparative_reasoning,scientific,medium,0.8,0.8,0.9905070886015892,0,1.0,1.0,0.9963553100824356,0,0.19999999999999996,0.19999999999999996,0.005848221480846405
What is the significance of all-orders resummation in diphoton calculations?,evaluation_judgment,scientific,hard,0.6923076923076923,0.75,0.9698420166969299,0,0.7272727272727273,0.75,0.9697338541348776,0,0.034965034965035,0.0,-0.00010816256205237185
How does the Kondo lattice model behave at half-filling?,causal_analysis,scientific,medium,0.8,0.7777777777777778,0.9911774567195347,0,0.8461538461538461,0.9166666666666666,0.9770711010152643,0,0.0461538461538461,0.13888888888888884,-0.014106355704270435
What is the role of attribution-aware reranking in RAG pipelines?,methodological_process,rag_thesis,medium,0.875,0.8571428571428571,0.9813039004802704,0,1.0,1.0,0.9892911513646444,0,0.125,0.1428571428571429,0.00798725088437402
How does the CVL improve citation correctness?,methodological_process,rag_thesis,medium,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
What are AGS implications in long-form attribution?,evaluation_judgment,rag_thesis,hard,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
How does retrieval brittleness affect long-form QA?,causal_analysis,rag_thesis,hard,1.0,1.0,0.9852978825569153,0,1.0,1.0,0.9929895520210266,0,0.0,0.0,0.0076916694641112615
What improvements does AAR provide over relevance reranking?,comparative_reasoning,rag_thesis,medium,0.3333333333333333,0.3333333333333333,0.9882261157035828,0,0.0,0.0,0.0,0,-0.3333333333333333,-0.3333333333333333,-0.9882261157035828
How does verification improve claim–citation alignment?,causal_analysis,rag_thesis,medium,0.6666666666666666,0.6666666666666666,0.992978572845459,0,1.0,1.0,0.9415767788887024,0,0.33333333333333337,0.33333333333333337,-0.05140179395675659
What evidence is used to demonstrate that kinetic models explain biodiversity?,factoid_lookup,scientific,medium,1.0,1.0,0.9754932671785355,0,0.0,0.0,0.0,0,-1.0,-1.0,-0.9754932671785355
Explain the relationship between Hardy spaces and special atoms.,multi_hop_explanatory,scientific,medium,1.0,1.0,0.9884661038716634,0,1.0,1.0,0.996582567691803,0,0.0,0.0,0.00811646382013953
Explain the role of gluon-gluon subprocesses in prompt diphoton production.,factoid_lookup,scientific,medium,1.0,1.0,0.9944655299186707,0,1.0,1.0,0.9959329962730408,0,0.0,0.0,0.0014674663543701172
What specific family of graphs is characterized by the pebble game with colors algorithm?,factoid_lookup,scientific,medium,1.0,1.0,0.9953035116195679,0,1.0,1.0,0.993767261505127,0,0.0,0.0,-0.001536250114440918
What evidence is used to demonstrate that kinetic models explain biodiversity?,factoid_lookup,scientific,medium,1.0,1.0,0.9754932671785355,0,0.0,0.0,0.0,0,-1.0,-1.0,-0.9754932671785355
What are the implications of exact diagonalization in lattice models?,evaluation_judgment,scientific,medium,0.6666666666666666,0.6666666666666666,0.986330380042394,0,1.0,1.0,0.9763317487456582,0,0.33333333333333337,0.33333333333333337,-0.009998631296735838
Does the pebble game with colors provide a new proof for arboricity?,evaluation_judgment,scientific,medium,1.0,1.0,0.9981114864349365,0,1.0,1.0,0.9979491829872131,0,0.0,0.0,-0.00016230344772338867
What perturbative contributions are included in NLO diphoton calculations?,factoid_lookup,scientific,medium,1.0,1.0,0.9995321035385132,0,1.0,1.0,0.980548107624054,0,0.0,0.0,-0.018983995914459206
Does the Kondo lattice model account for antiferromagnetic interactions?,factoid_lookup,scientific,medium,1.0,1.0,0.9826989429337638,0,0.6666666666666666,0.6666666666666666,0.9912588894367218,0,-0.33333333333333337,-0.33333333333333337,0.008559946502957994
How does general relativity explain gravitational lensing?,multi_hop_explanatory,general,medium,1.0,1.0,0.981248140335083,0,1.0,1.0,0.9925016164779663,0,0.0,0.0,0.0112534761428833
What happens to the rotation of Mars according to the APS meeting report from 2004?,factoid_lookup,scientific,medium,0.6666666666666666,0.6666666666666666,0.9194180369377136,0,0.3333333333333333,0.3333333333333333,0.9723927974700928,0,-0.3333333333333333,-0.3333333333333333,0.05297476053237915
What are the specific health benefits of drinking coffee daily according to recent medical literature?,factoid_lookup,general,medium,0.6666666666666666,0.6666666666666666,0.9641611278057098,0,0.0,0.0,0.0,0,-0.6666666666666666,-0.6666666666666666,-0.9641611278057098
Compare attribution-aware reranking with standard cross-encoder reranking in terms of citation precision and robustness to retrieval errors.,comparative_reasoning,rag_thesis,hard,1.0,1.0,0.9857848286628723,0,0.6666666666666666,0.6666666666666666,0.9718709588050842,0,-0.33333333333333337,-0.33333333333333337,-0.013913869857788086
Compare multi-hop retrieval strategies with single-pass retrieval approaches in handling complex question answering tasks.,comparative_reasoning,rag_thesis,hard,0.7,0.7,0.9884303552763802,0,0.9090909090909091,0.8888888888888888,0.9932091534137726,0,0.2090909090909091,0.18888888888888888,0.004778798137392348
Compare the effectiveness of AGS and traditional precision metrics in evaluating attribution quality in long-form responses.,comparative_reasoning,rag_thesis,hard,0.3333333333333333,0.42857142857142855,0.9752667546272278,0,1.0,1.0,0.99465012550354,0,0.6666666666666667,0.5714285714285714,0.019383370876312256
Compare causal reasoning queries with factoid queries in terms of their susceptibility to retrieval brittleness in RAG systems.,comparative_reasoning,rag_thesis,hard,0.5714285714285714,0.5714285714285714,0.9677065759897232,0,0.8333333333333334,0.8333333333333334,0.9760802030563355,0,0.261904761904762,0.261904761904762,0.008373627066612266
Compare verification-based pipelines with standard generation pipelines in reducing hallucinations in large language models.,comparative_reasoning,rag_thesis,hard,0.5714285714285714,0.5714285714285714,0.9830242544412613,0,0.8888888888888888,0.875,0.9929656045777457,0,0.31746031746031744,0.3035714285714286,0.00994135013648445
Compare BM25-based retrieval with dense vector retrieval methods in terms of recall and semantic relevance.,comparative_reasoning,rag_thesis,medium,0.75,0.75,0.9759176969528198,0,0.5384615384615384,0.6,0.9866079290707906,0,-0.21153846153846156,-0.15000000000000002,0.010690232117970822
Compare the performance of transformer-based models with recurrent neural networks in handling long-context dependencies.,comparative_reasoning,general,medium,1.0,1.0,0.9916489005088807,0,1.0,1.0,0.9844185511271158,0,0.0,0.0,-0.007230349381764811
Compare classical graph algorithms with pebble game algorithms in identifying sparse graph structures.,comparative_reasoning,scientific,medium,0.8571428571428571,0.8571428571428571,0.987153559923172,0,1.0,1.0,0.9756585597991944,0,0.1428571428571429,0.1428571428571429,-0.011495000123977639
Compare the Higgs boson signal extraction methods with background suppression techniques in particle physics experiments.,comparative_reasoning,scientific,hard,0.9230769230769231,0.9230769230769231,0.9816057483355204,0,1.0,1.0,0.9865367412567139,0,0.07692307692307687,0.07692307692307687,0.004930992921193478
Compare exact diagonalization methods with Monte Carlo simulations for studying quantum lattice systems.,comparative_reasoning,scientific,hard,0.7692307692307693,0.8333333333333334,0.9707748174667359,0,0.6363636363636364,0.6363636363636364,0.967959293297359,0,-0.13286713286713292,-0.19696969696969702,-0.002815524169376915
Compare ocean acidification effects with global warming impacts on marine ecosystems.,comparative_reasoning,general,medium,0.875,0.875,0.9725498897688729,0,1.0,1.0,0.9947504997253418,0,0.125,0.125,0.022200609956468886
Compare CRISPR gene editing with traditional genetic modification techniques in terms of precision and ethical concerns.,comparative_reasoning,general,medium,0.8,0.8,0.9677245765924454,0,1.0,1.0,0.9828857978185018,0,0.19999999999999996,0.19999999999999996,0.015161221226056454
Compare the impact of industrialization in the 19th century with modern technological expansion on environmental sustainability.,comparative_reasoning,general,medium,1.0,1.0,0.9818622740832242,0,1.0,1.0,0.9944500260882907,0,0.0,0.0,0.012587752005066455
Compare chain-of-thought prompting with direct answer generation in improving reasoning accuracy in LLMs.,comparative_reasoning,rag_thesis,hard,0.5,0.4,0.9937107115983963,0,1.0,1.0,0.9750676274299621,0,0.5,0.6,-0.018643084168434187
Compare attribution granularity in short-form versus long-form generated responses.,comparative_reasoning,rag_thesis,medium,0.75,0.75,0.9845358729362488,0,0.6666666666666666,0.6666666666666666,0.9946665465831757,0,-0.08333333333333337,-0.08333333333333337,0.01013067364692688
Evaluate the effectiveness of attribution-aware reranking in reducing misleading citations compared to relevance-based ranking approaches.,evaluation_judgment,rag_thesis,hard,0.6363636363636364,0.7,0.9634134684290204,0,1.0,1.0,0.9466564655303955,0,0.36363636363636365,0.30000000000000004,-0.016757002898624918
Evaluate how the Corrective Verification Loop impacts overall system reliability in long-form question answering tasks.,evaluation_judgment,rag_thesis,hard,0.25,0.3333333333333333,0.9738660752773285,0,1.0,1.0,0.9872175008058548,0,0.75,0.6666666666666667,0.013351425528526306
Evaluate the limitations of retrieval-based grounding when applied to multi-claim scientific documents.,evaluation_judgment,rag_thesis,hard,0.625,0.7142857142857143,0.9690228700637817,0,1.0,1.0,0.9978352189064026,0,0.375,0.2857142857142857,0.02881234884262085
Evaluate how attribution granularity affects user trust and interpretability in AI-generated responses.,evaluation_judgment,rag_thesis,hard,0.75,0.75,0.9863509138425192,0,0.6666666666666666,0.6666666666666666,0.9507957994937897,0,-0.08333333333333337,-0.08333333333333337,-0.03555511434872949
Evaluate the trade-offs between retrieval precision and recall in the context of claim-level attribution.,evaluation_judgment,rag_thesis,hard,0.7272727272727273,0.7272727272727273,0.9713005572557449,0,0.9333333333333333,1.0,0.9842503666877747,0,0.20606060606060606,0.2727272727272727,0.012949809432029724
Evaluate the impact of hallucination mitigation techniques on the usability of LLM-based systems.,evaluation_judgment,general,medium,0.75,0.7142857142857143,0.9815948724746704,0,1.0,1.0,0.9894599914550781,0,0.25,0.2857142857142857,0.00786511898040776
Evaluate the effectiveness of CRISPR gene editing technologies in addressing inherited genetic disorders.,evaluation_judgment,general,medium,1.0,1.0,0.9841963723301888,0,0.8888888888888888,0.8888888888888888,0.9672589376568794,0,-0.11111111111111116,-0.11111111111111116,-0.016937434673309326
Evaluate the environmental impact of large-scale industrialization on climate change trends.,evaluation_judgment,general,medium,0.8333333333333334,0.8333333333333334,0.9906142830848694,0,1.0,1.0,0.990144681930542,0,0.16666666666666663,0.16666666666666663,-0.0004696011543274814
Evaluate the significance of next-to-leading order corrections in improving theoretical predictions in particle physics.,evaluation_judgment,scientific,hard,0.6666666666666666,0.6666666666666666,0.9909852147102356,0,0.7142857142857143,0.7142857142857143,0.9640663146972657,0,0.04761904761904767,0.04761904761904767,-0.026918900012969926
Evaluate the reliability of astronomical models in predicting long-term planetary motion.,evaluation_judgment,scientific,hard,1.0,1.0,0.9802473485469818,0,1.0,1.0,0.9816272109746933,0,0.0,0.0,0.0013798624277114868
Explain the step-by-step process of attribution-aware reranking from initial retrieval to final passage selection.,methodological_process,rag_thesis,hard,0.6666666666666666,0.625,0.986337172985077,0,0.8333333333333334,0.8333333333333334,0.9814348578453064,0,0.16666666666666674,0.20833333333333337,-0.004902315139770574
"Describe how the Corrective Verification Loop identifies, evaluates, and corrects incorrect claim–citation pairs.",methodological_process,rag_thesis,hard,1.0,1.0,0.9713407158851624,0,0.5,0.5,0.9654347151517868,0,-0.5,-0.5,-0.005906000733375549
Explain the pipeline of a standard RAG system and highlight where attribution errors typically occur.,methodological_process,rag_thesis,medium,0.6666666666666666,0.6666666666666666,0.9959427863359451,0,1.0,1.0,0.9969822764396667,0,0.33333333333333337,0.33333333333333337,0.0010394901037216187
Describe the process of training a cross-encoder model for passage reranking using NLI-style objectives.,methodological_process,rag_thesis,hard,1.0,1.0,0.994567890961965,0,0.8,0.8,0.9943826049566269,0,-0.19999999999999996,-0.19999999999999996,-0.00018528600533807005
Explain how claim–citation extraction is performed in long-form generated responses.,methodological_process,rag_thesis,medium,0.8571428571428571,0.8571428571428571,0.978443831205368,0,1.0,1.0,0.9851741343736649,0,0.1428571428571429,0.1428571428571429,0.006730303168296814
Describe the process of backpropagation in neural networks and how it enables model learning.,methodological_process,general,medium,0.6,0.75,0.9647278686364492,0,0.8,0.75,0.9947746992111206,0,0.20000000000000007,0.0,0.03004683057467139
Explain the mechanism of mRNA vaccines from injection to immune response activation.,methodological_process,general,medium,0.25,0.25,0.8990519642829895,0,1.0,1.0,0.9907562335332235,0,0.75,0.75,0.091704269250234
Describe how transformer models process input sequences using self-attention mechanisms.,methodological_process,general,medium,1.0,1.0,0.991498839855194,0,1.0,1.0,0.9887669185797373,0,0.0,0.0,-0.002731921275456739
Explain how BM25 retrieves candidate documents and how it differs from neural retrieval methods.,methodological_process,rag_thesis,medium,0.75,0.75,0.9763852059841156,0,0.47058823529411764,0.4666666666666667,0.952115569795881,0,-0.27941176470588236,-0.2833333333333333,-0.024269636188234633
"Describe the process of evaluating attribution quality using precision, recall, and AGS metrics.",methodological_process,rag_thesis,medium,0.3333333333333333,0.3333333333333333,0.9715204238891602,0,1.0,1.0,0.9842428267002106,0,0.6666666666666667,0.6666666666666667,0.012722402811050415
Explain how retrieval brittleness emerges in RAG systems and how it propagates through the generation stage.,multi_hop_explanatory,rag_thesis,hard,1.0,1.0,0.9714629990713937,0,0.8181818181818182,0.8,0.9726746305823326,0,-0.18181818181818177,-0.19999999999999996,0.0012116315109389486
Explain how attribution-aware reranking and verification together improve claim-level grounding in long-form outputs.,multi_hop_explanatory,rag_thesis,hard,0.8181818181818182,0.9,0.9809613823890686,0,0.7142857142857143,0.7142857142857143,0.981641149520874,0,-0.10389610389610393,-0.18571428571428572,0.0006797671318053977
Explain how multiple supporting passages are combined to generate a coherent answer in RAG systems.,multi_hop_explanatory,rag_thesis,medium,0.6,0.75,0.9860237042109171,0,1.0,1.0,0.9717856168746948,0,0.4,0.25,-0.014238087336222338
Explain how ocean acidification interacts with rising temperatures to affect marine biodiversity.,multi_hop_explanatory,general,medium,0.5,0.5,0.9654798209667206,0,1.0,1.0,0.9734922647476196,0,0.5,0.5,0.008012443780899048
Explain how industrial emissions contribute to both global warming and ocean acidification.,multi_hop_explanatory,general,medium,1.0,1.0,0.9721582293510437,0,0.5,0.5,0.9983720183372498,0,-0.5,-0.5,0.026213788986206077
Explain how quantum computing principles challenge classical cryptographic systems like RSA.,multi_hop_explanatory,general,medium,0.7142857142857143,0.8333333333333334,0.9720009446144104,0,0.6666666666666666,0.75,0.9928702513376871,0,-0.04761904761904767,-0.08333333333333337,0.020869306723276693
Explain how Higgs boson detection relies on distinguishing signal from background noise in particle experiments.,multi_hop_explanatory,scientific,hard,0.8888888888888888,1.0,0.9750172734260559,0,0.8333333333333334,0.8333333333333334,0.9863962531089783,0,-0.05555555555555547,-0.16666666666666663,0.011378979682922341
Explain how perturbative QCD calculations are used to model diphoton production processes.,multi_hop_explanatory,scientific,hard,0.5555555555555556,0.625,0.9935006380081177,0,0.5714285714285714,0.5714285714285714,0.991898849606514,0,0.015873015873015817,-0.0535714285714286,-0.0016017884016037431
Explain how sparse graph structures relate to rigidity theory and constraint satisfaction problems.,multi_hop_explanatory,scientific,hard,1.0,1.0,0.9940711855888367,0,0.9,0.9,0.9712735546959771,0,-0.09999999999999998,-0.09999999999999998,-0.022797630892859577
Explain how Hardy spaces and dyadic grids are used together in functional analysis.,multi_hop_explanatory,scientific,hard,1.0,1.0,0.9789940118789673,0,0.8571428571428571,0.8571428571428571,0.9766701559225718,0,-0.1428571428571429,-0.1428571428571429,-0.002323855956395504
Explain how attribution bias influences passage selection in retrieval-augmented generation systems.,multi_hop_explanatory,rag_thesis,hard,0.75,0.75,0.9471471110979716,0,0.6666666666666666,0.6666666666666666,0.9751136600971222,0,-0.08333333333333337,-0.08333333333333337,0.02796654899915063
Explain how long-context documents introduce challenges for citation granularity and evidence alignment.,multi_hop_explanatory,rag_thesis,hard,1.0,1.0,0.9778563976287842,0,1.0,1.0,0.9759145677089691,0,0.0,0.0,-0.0019418299198150635
"Explain how multi-agent RAG systems coordinate retrieval, reasoning, and verification processes.",multi_hop_explanatory,rag_thesis,hard,0.9090909090909091,0.9,0.9693991872999403,0,0.8333333333333334,0.8,0.9839899316430092,0,-0.07575757575757569,-0.09999999999999998,0.01459074434306884
Explain how evaluation metrics like precision and recall interact with AGS in measuring attribution quality.,multi_hop_explanatory,rag_thesis,hard,0.5,0.5,0.9284329116344452,0,1.0,1.0,0.987362767968859,0,0.5,0.5,0.05892985633441383
Explain how your proposed AAR + CVL framework improves attribution compared to baseline RAG systems across different query types.,multi_hop_explanatory,rag_thesis,hard,0.6666666666666666,0.6666666666666666,0.9815483391284943,0,1.0,1.0,0.9713815599679947,0,0.33333333333333337,0.33333333333333337,-0.010166779160499573
